"First name";"Last name";"Birth date";"Nationality";"Preferred language";"Address line 1";"Address line 2";"Postal code";"City";"Country code";"Email";"Phone number";"Comment";"Guest comment";"Travel purpose";"Amount of guests";"Amount of adults";"Amount of children";"Check in date";"Check in time";"Check out date";"Check out time";"Unit group";"Unit";"External code";"Channel";"Source";"Rate plan";"Credit card number";"Gross amount";"ID";"Property code";"Booking ID";"Status";"Created at";"Arrival";"Departure";"Number of days";"Guarantee type";"Balance";"Currency";"Company";"Commission";"Price before commission";"Promo code";"Corporate code";"Room move";"Cancellation date";"Cancellation time";"No-show date";"No-show time"
"Mathilda";"Alexa";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+mathilda.alexa@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"G.014";"";"Direct";"";"Include Breakfast";"1111";111;"FUMZXIHB-1";"VIE";"FUMZXIHB";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Credit Card";-111;"EUR";"";"";"";"";"";"";"";"";"";""
"Richard";"Axmann";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+richard.axmann@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.007";"";"Direct";"";"Non Refundable";"1111";184;"NGYXHIPB-1";"BER";"NGYXHIPB";"Confirmed";"15/10/2021";"16/10/2021";"19/10/2021";3;"Prepayment";-184;"EUR";"";"";"";"";"";"";"";"";"";""
"Collien";"Balnuweit";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+collien.balnuweit@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"1.007";"";"Direct";"";"Non Refundable";"1111";427;"YJZRRBFX-1";"MUC";"YJZRRBFX";"Confirmed";"15/10/2021";"16/10/2021";"21/10/2021";5;"Prepayment";-427;"EUR";"";"";"";"";"";"";"";"";"";""
"Preston";"Barton";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+preston.barton@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";130;"BJAEGQWI-1";"LND";"BJAEGQWI";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-130;"GBP";"";"";"";"";"";"";"";"";"";""
"Yusuf";"Berger";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+yusuf.berger@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.005";"";"Direct";"";"Include Breakfast";"1111";734;"XXFVRDZM-1";"VIE";"XXFVRDZM";"Confirmed";"15/10/2021";"16/10/2021";"22/10/2021";6;"Credit Card";-734;"EUR";"";"";"";"";"";"";"";"";"";""
"Mona";"Blume";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+mona.blume@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.010";"";"Direct";"";"Include Breakfast";"1111";126;"HHNPVEJQ-1";"BER";"HHNPVEJQ";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Credit Card";-126;"EUR";"";"";"";"";"";"";"";"";"";""
"Elizabeth";"Boyle";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+elizabeth.boyle@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"1.010";"";"Direct";"";"Non Refundable";"1111";100;"HXWZSPLE-1";"LND";"HXWZSPLE";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-100;"GBP";"";"";"";"";"";"";"";"";"";""
"Jaime";"Effertz";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+jaime.effertz@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.016";"";"Direct";"";"Non Refundable";"1111";247;"VLSEZOLG-1";"LND";"VLSEZOLG";"Confirmed";"15/10/2021";"16/10/2021";"18/10/2021";2;"Prepayment";-247;"GBP";"";"";"";"";"";"";"";"";"";""
"Miray";"Erhardt";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+miray.erhardt@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.005";"";"Direct";"";"Non Refundable";"1111";96;"GFWFVBQN-1";"BER";"GFWFVBQN";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-96;"EUR";"";"";"";"";"";"";"";"";"";""
"Nela";"Fried";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+nela.fried@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.004";"";"Direct";"";"Non Refundable";"1111";81;"JEPEBFXQ-1";"VIE";"JEPEBFXQ";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-81;"EUR";"";"";"";"";"";"";"";"";"";""
